Ticker,Nombre,Tipo,Sector,Region,Retorno_Anualizado_%,Volatilidad_Anualizada_%,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Beta,CVaR_95_%
AAPL,Apple Inc.,Accion,Tecnologia,EE.UU.,18.89834661424646,24.86649960939181,0.6173008829836305,1.4150912655855568,-26.404192076513755,1.0968120339933536,-11.346011511830241
MSFT,Microsoft Corp.,Accion,Tecnologia,EE.UU.,10.403057411524811,25.279790069611803,0.27115822338683215,0.5029734539302894,-30.528462548475165,1.147964853184201,-12.966819434308045
GOOGL,Alphabet Inc.,Accion,Tecnologia,EE.UU.,26.06213745460672,31.923976727162017,0.7052349147590478,1.3694529590307647,-40.40365325557712,1.2566061963517623,-15.706401569280839
NVDA,NVIDIA Corp.,Accion,Tecnologia,EE.UU.,59.29981503808198,50.6139834526233,1.1015054889250295,2.082495683395318,-62.820625817321684,2.2064054434721156,-23.45930838405247
META,Meta Platforms Inc.,Accion,Tecnologia,EE.UU.,18.69251074052637,41.68529749452243,0.36330018500790545,0.517994775852662,-75.44414420935422,1.2532406380357681,-26.899861706621238
JNJ,Johnson & Johnson,Accion,Salud,EE.UU.,11.775645673652757,17.400264061690944,0.4728325498869717,0.9848668062817871,-15.669248206179306,0.24613497693875014,-7.672557140689829
PFE,Pfizer Inc.,Accion,Salud,EE.UU.,-1.4000752450462173,23.647484938043323,-0.20925310690196594,-0.4440793696315162,-52.80349235117461,0.35147368293728165,-11.464128561036652
UNH,UnitedHealth Group,Accion,Salud,EE.UU.,8.088739423601357,34.76684910564142,0.13059869075704658,0.19205010303464617,-58.476931431612634,0.6108998400915255,-22.689898175547274
JPM,JPMorgan Chase & Co.,Accion,Financiero,EE.UU.,20.724369541095427,23.943803617137263,0.7173519866386302,1.3817688697398371,-37.11083215724161,0.9679821181565035,-11.908894678431995
BAC,Bank of America Corp.,Accion,Financiero,EE.UU.,12.932045020835844,27.29895863876984,0.34374243707788227,0.6030106202789487,-42.01511279382172,1.1409987943827935,-15.117526054726415
V,Visa Inc.,Accion,Financiero,EE.UU.,9.42746791001782,19.60872670004704,0.29982739579653195,0.6293695929167826,-27.28889940939176,0.7585712984101067,-9.057275311062936
KO,Coca-Cola Co.,Accion,Consumo,EE.UU.,12.207596833786274,16.368940677793425,0.5290117763623532,0.9504078390410753,-12.843545613355206,0.34310275321669353,-8.224287745525631
PG,Procter & Gamble Co.,Accion,Consumo,EE.UU.,6.4888896581487,18.630282696527654,0.15784275834096673,0.28552722251764723,-21.462010172696434,0.37599095402837795,-10.320992350778639
MCD,McDonald's Corp.,Accion,Consumo,EE.UU.,6.966663032459075,17.181038226649935,0.1989651928310056,0.4468454420874827,-19.360148377062465,0.4126149054438162,-7.761378420519242
AMZN,Amazon.com Inc.,Accion,Consumo,EE.UU.,11.620396839212239,33.62636912144994,0.24005453462432524,0.46063158287756745,-52.09676463567986,1.4721288570542053,-16.746528087177715
XOM,Exxon Mobil Corp.,Accion,Energia,EE.UU.,23.1775224224519,27.050104747990677,0.7256640281680684,1.368839154731381,-17.0821608134389,0.17287244413015201,-11.627024600289422
CVX,Chevron Corp.,Accion,Energia,EE.UU.,18.270666976627854,27.556363687490805,0.534266156991327,0.8404502391019191,-18.66818376470398,0.4939846103486051,-16.450193915896982
CAT,Caterpillar Inc.,Accion,Industrial,EE.UU.,38.35441686124844,35.69070072054073,0.9752171212643067,2.386633726596847,-25.493591918009944,1.5643559894824732,-15.040674940819562
HON,Honeywell International,Accion,Industrial,EE.UU.,6.0117321439493505,22.842240858747417,0.10784833723304185,0.23296955516659262,-26.855170907059506,0.867391040829176,-10.171744988206004
T,AT&T Inc.,Accion,Telecom,EE.UU.,10.091193743583984,24.278571725073654,0.26949523098057543,0.5317232520234998,-26.987706354976694,0.22535167932717456,-11.64555493332436
VZ,Verizon Communications,Accion,Telecom,EE.UU.,4.573460664875628,20.252152528568264,0.050623074005226025,0.09021007399667319,-34.82485044811835,0.24387064871199945,-9.492506488596176
TSM,Taiwan Semiconductor,Accion,Tecnologia,Asia,33.70169129270263,35.649899461264134,0.8458216516657913,1.9667173719521616,-49.01391724252143,1.362811467361136,-14.93323944572261
BABA,Alibaba Group,Accion,Consumo,Asia,-3.0321091923368826,49.61140698418169,-0.13263771461050838,-0.3123111243224917,-71.964016570667,0.5186265110269709,-21.526877046111473
NVO,Novo Nordisk,Accion,Salud,Europa,12.243924125797493,37.283726471055054,0.23323016501291888,0.25570883252357335,-72.93938938122588,0.7505345175654744,-30.316786553475772
SHEL,Shell plc,Accion,Energia,Europa,19.50975339942348,20.739362594631913,0.7696243738415615,1.3309508600952435,-15.176064282616528,0.0722722533325563,-10.832106858773678
VALE,Vale S.A.,ADR,Materiales,Latam (Brasil),7.427957339437685,34.22401729503341,0.11336257977358838,0.21827761963557615,-44.37491199566747,0.45856415665768385,-17.876530844077408
ITUB,Itau Unibanco Holding,ADR,Financiero,Latam (Brasil),24.126133733402533,33.61992218815573,0.6120745660736632,1.0728346145734238,-26.356268528969395,0.5595592334930556,-17.43238782647254
AMX,America Movil,ADR,Telecom,Latam (Mexico),17.636437870878645,28.78769829560317,0.4893827661231806,1.2140096451066313,-31.44418282759922,0.6570511806171356,-10.254330145793949
FMX,Fomento Economico Mexicano,ADR,Consumo,Latam (Mexico),13.635881603113772,23.078840408765945,0.4370950609210603,0.8285367627822988,-35.178459734565095,0.39554379167115494,-11.17445159425804
SPY,SPDR S&P 500 ETF,ETF,Renta Variable Global,EE.UU.,13.435955930989865,15.947292834369216,0.6200250779256588,1.1047982107099683,-23.92717882832833,1.0025331724499922,-8.755843495237237
EFA,iShares MSCI EAFE ETF,ETF,Renta Variable Global,Desarrollado ex-US,9.598654975167866,15.56571348898049,0.3887017791246369,0.7090563901762027,-27.622411350156828,0.7768105999810344,-8.605831526153578
EEM,iShares MSCI Emerging Mkts,ETF,Renta Variable Global,Emergente,7.839155210835219,17.750214463101855,0.2417390939753518,0.44287889698506017,-36.54936338647386,0.7261315823001706,-9.45309741893235
AGG,iShares Core US Agg Bond,ETF,Renta Fija,EE.UU.,0.23504394936204157,6.448840808013566,-0.5137652793627124,-0.8152237305788168,-16.50147984881588,0.2506066972563172,-3.664396827065238
GLD,SPDR Gold Shares,ETF,Materias Primas,Global,17.852693704410736,16.193217746202063,0.8833611379745013,1.57835225205419,-22.001032077680865,0.18527765051319353,-8.653457773324154
XLE,Energy Select Sector SPDR,ETF,Energia,EE.UU.,21.080027983668703,25.943403639308222,0.6757707577138631,1.1116353520409108,-17.07346577304572,0.4199237079479605,-13.654282949830229
